,labels,Usecase,n,order,Section,Total,value,reorder
4,CycloneDx,Analyze,38,2,Produce,108,35.18518519,1
5,DualFormat,Analyze,55,2,Produce,108,50.92592593,1
6,SPDX,Analyze,15,2,Produce,108,13.88888889,1
1,CycloneDx,Build,61,1,Produce,131,46.5648855,1
2,DualFormat,Build,58,1,Produce,131,44.27480916,1
3,SPDX,Build,12,1,Produce,131,9.160305344,1
13,CycloneDx,Diff,1,5,Consume,14,7.142857143,2
14,DualFormat,Diff,8,5,Consume,14,57.14285714,2
15,SPDX,Diff,5,5,Consume,14,35.71428571,2
7,CycloneDx,Edit,3,3,Produce,13,23.07692308,1
8,DualFormat,Edit,7,3,Produce,13,53.84615385,1
9,SPDX,Edit,3,3,Produce,13,23.07692308,1
16,CycloneDx,Import,15,6,Consume,56,26.78571429,2
17,DualFormat,Import,34,6,Consume,56,60.71428571,2
18,SPDX,Import,7,6,Consume,56,12.5,2
22,CycloneDx,Merge,4,8,Transform,16,25,3
23,DualFormat,Merge,9,8,Transform,16,56.25,3
24,SPDX,Merge,3,8,Transform,16,18.75,3
25,CycloneDx,Support,38,9,Transform,77,49.35064935,3
26,DualFormat,Support,29,9,Transform,77,37.66233766,3
27,SPDX,Support,10,9,Transform,77,12.98701299,3
19,CycloneDx,Translate,6,7,Transform,25,24,3
20,DualFormat,Translate,11,7,Transform,25,44,3
21,SPDX,Translate,8,7,Transform,25,32,3
10,CycloneDx,View,34,4,Consume,96,35.41666667,2
11,DualFormat,View,53,4,Consume,96,55.20833333,2
12,SPDX,View,9,4,Consume,96,9.375,2
