Name,Format,BUILD,ANALYZE,EDIT,Produce,VIEW,DIFF,IMPORT,Consume,TRANSLATE,MERGE,SUPPORT,Transform,Name,Format,BUILD,ANALYZE,EDIT,Produce,VIEW,DIFF,IMPORT,Consume,TRANSLATE,MERGE,SUPPORT,Transform
NetRise Turbine,SPDX,1,1,0,1,1,0,1,1,0,1,0,1,Beniva Software Bill of Materials (SBOM),CycloneDX,0,1,0,1,1,0,1,1,0,0,0,0
Mend SCA,SPDX,1,1,0,1,1,0,0,1,0,0,0,0,Athena,CycloneDX,1,1,0,1,1,0,0,1,0,0,0,0
Manifest,SPDX,1,1,0,1,1,1,1,1,0,1,1,1,Arnica,CycloneDX,1,1,0,1,1,0,0,1,0,0,1,1
Kondukto,SPDX,1,1,0,1,1,0,1,1,0,0,1,1,DejaCode,CycloneDX,1,1,1,1,1,0,0,1,1,0,0,1
Xray,SPDX,1,1,0,1,1,0,0,1,0,0,0,0,SourceAuditor,CycloneDX,0,1,0,1,1,1,1,1,1,0,0,1
Ion Channel Platform,SPDX,1,1,0,1,1,0,1,1,0,0,0,0,Jake,CycloneDX,1,0,0,1,1,0,0,1,0,0,0,0
Vulnerabilities.io,SPDX,1,1,0,1,1,0,0,1,0,0,1,1,gobom,CycloneDX,1,0,0,1,0,0,0,0,0,1,0,1
Flawnter,SPDX,1,1,0,1,0,0,0,0,0,0,1,1,Vuls,CycloneDX,1,1,0,1,1,0,0,1,0,0,0,0
Enso,SPDX,1,1,0,1,1,0,0,1,0,0,1,1,CycloneDX Web Tool,CycloneDX,0,0,0,0,1,0,0,1,1,1,0,1
Endor Labs,SPDX,1,1,0,1,1,0,0,1,0,0,0,0,macaron,CycloneDX,0,0,0,0,0,0,1,1,0,0,1,1
Fortress File Integrity Assurance,SPDX,1,1,0,1,1,1,1,1,1,0,1,1,CycloneDX Rust,CycloneDX,0,0,0,0,0,0,0,0,0,0,1,1
Rezilion Dynamic SBOM,SPDX,1,1,0,1,1,0,0,1,0,0,1,1,LicenseComplianceTool,CycloneDX,0,0,1,1,0,0,1,1,0,0,0,0
MedScan,SPDX,0,1,0,1,0,0,1,1,0,0,0,0,Augur,CycloneDX,1,1,0,1,0,0,0,0,0,0,0,0
Black Duck,SPDX,1,1,0,1,1,0,1,1,0,0,1,1,bom,CycloneDX,1,1,0,1,1,0,0,1,0,0,1,1
Contrast Security,SPDX,1,1,0,1,1,0,0,1,0,0,0,0,Cavil,CycloneDX,0,0,0,0,1,0,0,1,0,0,0,0
Heimdall,SPDX,1,1,0,1,1,0,1,1,1,0,0,1,FOSSLight,CycloneDX,0,1,1,1,1,0,0,1,1,1,0,1
ONEKEY firmware analysis platform,SPDX,1,1,0,1,1,0,0,1,0,0,1,1,Nix / Nixpkgs,CycloneDX,1,0,0,1,0,0,0,0,0,0,0,0
