Name,Support,Type,BUILD,ANALYZE,EDIT,VIEW,DIFF,IMPORT,TRANSLATE,MERGE,SUPPORT
Fortify on Demand,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,0
Apiiro,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,1
Veracode,CycloneDx,Proprietary,1,1,0,0,0,0,0,0,0
Cybellum SBOM,CycloneDx,Proprietary,1,1,1,1,0,1,1,1,1
Arsenal,CycloneDx,Proprietary,1,1,0,1,0,1,0,0,0
StackAware,CycloneDx,Proprietary,0,1,0,1,0,0,0,0,0
CodeSentry,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,1
SecureStack,CycloneDx,Proprietary,1,1,0,0,0,0,0,0,1
PulseUno Plugin for Dimensions CM,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,0
Reliza Hub,CycloneDx,Proprietary,1,0,0,1,0,1,0,0,1
Prisma Cloud,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,0
NowSecure Platform,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,0
JDisc Discovery,CycloneDx,Proprietary,1,1,0,1,0,1,0,0,1
JupiterOne,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,0
Debricked,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,1
CxSCA,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,1
CAST Highlight,CycloneDx,Proprietary,1,1,0,1,0,1,0,0,1
Beniva Software Bill of Materials (SBOM),CycloneDx,Proprietary,0,1,0,1,0,1,0,0,0
Athena,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,0
Arnica,CycloneDx,Proprietary,1,1,0,1,0,0,0,0,1
Jake,CycloneDx,Opensource,1,0,0,1,0,0,0,0,0
gobom,CycloneDx,Opensource,1,0,0,0,0,0,0,1,0
Vuls,CycloneDx,Opensource,1,1,0,1,0,0,0,0,0
CycloneDX Web Tool,CycloneDx,Opensource,0,0,0,1,0,0,1,1,0
macaron,CycloneDx,Opensource,0,0,0,0,0,1,0,0,1
CycloneDX Rust,CycloneDx,Opensource,0,0,0,0,0,0,0,0,1
LicenseComplianceTool,CycloneDx,Opensource,0,0,1,0,0,1,0,0,0
yasca (Yet Another SCA tool),CycloneDx,Opensource,1,0,0,1,0,0,0,0,0
CycloneDX PHP Library,CycloneDx,Opensource,1,0,1,0,0,0,1,0,0
mdbom,CycloneDx,Opensource,0,0,0,1,0,0,1,0,0
cyclonedx-merge,CycloneDx,Opensource,0,0,0,0,0,0,0,1,0
SnykVulnCheck,CycloneDx,Opensource,0,1,0,0,0,0,0,0,0
Semgrep,CycloneDx,Opensource,1,1,0,1,0,0,0,0,0
SecObserve,CycloneDx,Opensource,1,1,0,1,0,0,0,0,1
Valaa Stack,CycloneDx,Opensource,1,0,0,0,0,0,1,0,0
Salus,CycloneDx,Opensource,1,1,0,1,0,0,0,0,1
sca-codeinsight-reports-cyclonedx,CycloneDx,Opensource,1,0,0,0,0,0,0,0,0
CycloneDX Python Library,CycloneDx,Opensource,1,0,0,1,1,1,1,0,1
Nexus Lifecycle Jenkins Plugin,CycloneDx,Opensource,1,1,0,1,0,0,0,0,0
Checkov,CycloneDx,Opensource,1,1,0,0,0,0,0,0,0
Dependency-Track Maven Plugin,CycloneDx,Opensource,1,1,0,1,0,1,0,0,1
CycloneDX Core for Java,CycloneDx,Opensource,1,1,0,0,0,1,0,0,1
Kyverno,CycloneDx,Opensource,1,1,0,1,0,0,0,0,1
kbom - Kubernetes Bill of Materials powered by KSOC,CycloneDx,Opensource,1,0,0,0,0,0,0,0,0
jbom,CycloneDx,Opensource,1,0,0,0,0,0,0,0,0
oss_inventory,CycloneDx,Opensource,0,1,0,1,0,1,0,0,0
CycloneDX library for Go,CycloneDx,Opensource,1,0,0,0,0,1,0,0,0
sbom-submission-action,CycloneDx,Opensource,0,1,0,0,0,0,0,0,1
action-owasp-dependecy-track-check,CycloneDx,Opensource,1,1,0,1,0,0,0,0,0
SRC:CLR SBOM Generator,CycloneDx,Opensource,1,1,0,0,0,0,0,0,0
Vexy,CycloneDx,Opensource,1,1,0,0,0,0,0,0,0
EMBA,CycloneDx,Opensource,1,1,0,1,0,0,0,0,0
